Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1132,813,769,892,743,113,4136,-16076,-464,-1113,-396,-70
1135,806,759,887,745,115,4160,-15984,-328,-1124,-372,-70
1138,816,763,885,747,112,4048,-16044,-400,-1129,-366,-85
1141,814,763,892,742,117,4120,-16032,-416,-1164,-439,-77
1144,815,767,891,746,113,4080,-16112,-428,-1171,-406,-108
1147,811,767,887,741,117,4056,-16144,-508,-1172,-376,-96
1150,816,763,887,742,114,4096,-16120,-196,-1216,-403,-90
1153,816,770,890,741,112,3976,-16160,-420,-1198,-310,-98
1156,814,770,894,741,116,3984,-16244,-492,-1189,-296,-98
1159,810,769,889,738,114,3948,-16144,-420,-1201,-436,-115
1162,816,760,893,738,118,3976,-16144,-520,-1254,-461,-147
1165,814,770,880,737,118,4080,-16268,-380,-1181,-393,-113
1168,810,772,885,738,112,4044,-16176,-412,-1230,-371,-134
1171,814,758,895,742,112,4184,-16220,-380,-1218,-276,-121
1174,813,774,891,735,114,4100,-16136,-544,-1236,-312,-120
1177,811,770,893,739,112,4016,-16144,-572,-1199,-303,-113
1180,811,771,887,742,118,4088,-16172,-400,-1274,-329,-142
1183,811,761,883,743,116,4036,-16256,-444,-1226,-316,-128
1186,812,771,887,748,119,4144,-16180,-368,-1183,-277,-119
1189,807,768,889,742,112,4120,-16268,-404,-1162,-219,-129
1192,808,770,887,746,114,4108,-16200,-344,-1176,-272,-124
1195,806,768,895,743,113,4020,-16244,-456,-1105,-225,-100
1198,809,772,883,745,114,4164,-16068,-312,-1127,-193,-144
1201,805,781,882,743,117,4204,-16112,-388,-1101,-162,-107
1204,805,776,884,741,117,4052,-16140,-308,-1113,-259,-129
1207,832,774,894,742,116,4152,-16120,-544,-1068,-222,-119
1210,804,773,893,742,117,4016,-16156,-536,-1046,-244,-103
1213,805,765,894,739,114,4064,-16068,-416,-1028,-209,-108
1216,807,773,891,739,115,4088,-16052,-368,-1000,-191,-102
1219,813,773,906,742,115,4004,-16156,-432,-999,-203,-111
1222,811,775,893,739,118,4132,-16180,-336,-965,-233,-104
1225,796,775,890,739,122,4124,-16116,-508,-944,-243,-91
1228,806,773,893,733,115,4136,-16128,-508,-963,-260,-114
1231,811,773,891,740,117,4204,-16160,-588,-952,-210,-111
1234,805,768,895,740,117,4564,-16076,-380,-1056,-170,-153
1237,805,770,896,750,117,4288,-16184,-540,-1081,323,-239
1240,805,770,889,747,117,4444,-16064,-384,-1131,332,-331
1243,805,780,896,744,114,4324,-16236,-724,-1000,179,-232
1246,806,767,894,743,117,4128,-16136,-472,-1067,2,-269
1249,811,763,898,745,120,4152,-16236,-592,-986,72,-221
1252,791,770,887,744,119,4344,-16076,-844,-939,109,-133
1255,803,767,895,743,121,4180,-16132,-468,-1029,290,-187
1258,803,766,891,747,114,4396,-16124,-616,-987,217,-154
1261,800,767,892,742,115,4176,-16172,-444,-1021,241,-171
1264,802,770,893,742,119,4300,-16228,-768,-987,109,-152
1267,802,769,890,737,115,4328,-16212,-664,-1019,57,-106
1270,805,769,886,743,118,4400,-16156,-668,-1043,0,-102
